               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034708,             0.02056,           0.0017825,             0.99596,             0.92994,             0.96279,             0.58043,            0.043757,           0.0081556,          0.00097657,             0.00307,             0.00307,             0.00307
                  37,            0.032933,            0.020026,           0.0018575,             0.98844,             0.91667,             0.96392,             0.58515,             0.04238,           0.0081288,          0.00096932,            0.002872,            0.002872,            0.002872
                  38,            0.032177,            0.019201,           0.0018658,             0.99629,             0.92379,             0.96568,             0.61237,             0.04409,           0.0080677,            0.001028,            0.002674,            0.002674,            0.002674
                  39,            0.032065,            0.021359,            0.001643,             0.99646,             0.92407,             0.96493,             0.60993,            0.041183,           0.0080315,           0.0010127,            0.002476,            0.002476,            0.002476
                  40,            0.030103,            0.020959,           0.0013735,              0.9959,             0.92699,              0.9651,             0.60778,            0.040032,           0.0081471,           0.0010267,            0.002278,            0.002278,            0.002278
                  41,            0.032395,            0.018727,           0.0017016,              0.9841,             0.94104,             0.96501,             0.59268,            0.040081,           0.0081179,           0.0011054,             0.00208,             0.00208,             0.00208
                  42,            0.030776,            0.020424,           0.0012421,             0.98744,             0.94077,             0.96614,             0.62983,            0.039535,           0.0081187,           0.0011337,            0.001882,            0.001882,            0.001882
                  43,            0.029498,            0.020431,            0.001426,             0.99251,             0.94056,             0.96745,             0.61876,            0.040665,           0.0080301,           0.0011876,            0.001684,            0.001684,            0.001684
                  44,            0.028522,            0.019337,           0.0013197,             0.99782,             0.94444,             0.96892,             0.59102,            0.039817,           0.0080298,            0.001167,            0.001486,            0.001486,            0.001486
                  45,            0.028105,            0.019089,            0.001602,             0.99382,             0.93882,             0.96896,             0.60449,            0.039893,           0.0080735,            0.001156,            0.001288,            0.001288,            0.001288
                  46,            0.027666,            0.017954,           0.0020404,             0.99301,             0.93424,             0.96893,             0.60001,            0.039686,           0.0080855,           0.0011237,             0.00109,             0.00109,             0.00109
                  47,             0.02888,            0.020575,           0.0012238,             0.99658,             0.93275,             0.96894,              0.5933,            0.040206,           0.0081318,           0.0010705,            0.000892,            0.000892,            0.000892
                  48,            0.029259,            0.020693,           0.0025154,                   1,             0.93345,             0.96896,             0.59638,            0.040383,           0.0080854,          0.00098942,            0.000694,            0.000694,            0.000694
                  49,            0.026745,            0.018007,           0.0014701,             0.99822,              0.9369,             0.96958,             0.60187,            0.040455,           0.0080114,          0.00094398,            0.000496,            0.000496,            0.000496
