african-elephants
Location,Year,Definite,Probable,Possible,Speculative,Total
Uganda,2002,2064,0,210,460,2734
Uganda,2007,2337,1985,1937,300,6559
Uganda,2013,3452,2110,1942,340,7844
Uganda,2015,2911,2012,2609,56,7588
Western Africa,1995,2760,1376,5035,5554,14725
Western Africa,1998,2489,644,6228,3442,12803
Western Africa,2002,402067,59024,99813,99307,660211
Western Africa,2007,7487,735,1129,2939,12290
Western Africa,2013,7900,2626,2589,4285,17400
Western Africa,2015,8914,2704,3049,2711,17378
Zambia,1995,19702,6573,6728,0,33003
Zambia,1998,15873,6179,6964,0,29016
Zambia,2002,12457,6961,7631,235,27284
Zambia,2007,16562,5948,5908,813,29231
Zambia,2013,9911,2501,2648,542,15602
Zambia,2015,17263,4704,4749,269,26985
Zambia,2016,,,,,22000
Zimbabwe,1995,56297,11674,13884,0,81855
Zimbabwe,1998,63070,8034,10185,0,81289
Zimbabwe,2002,81555,7039,7373,291,96258
Zimbabwe,2007,84416,7033,7367,291,99107
Zimbabwe,2013,67954,6974,6974,14730,96632
Zimbabwe,2015,74222,8589,9116,1141,93068
Zimbabwe,2021,,,,,100000
